ticket_id,ticket_text,true_tags,zero_shot_tags,few_shot_tags
TKT-1000,My internet keeps disconnecting every few hours and I have to restart the router,"['connectivity', 'hardware', 'internet']","['connectivity', 'internet', 'hardware']","['connectivity', 'internet', 'hardware']"
TKT-1001,"I was charged twice for my subscription this month, please refund the extra payment","['billing', 'refund', 'payment']","['billing', 'payment', 'refund']","['billing', 'refund', 'payment']"
TKT-1002,The app crashes every time I try to open it on my iPhone 14,"['bug', 'mobile', 'crash']","['bug', 'crash', 'mobile']","['bug', 'crash', 'mobile']"
TKT-1003,How do I reset my password? I cannot log into my account,"['account', 'authentication', 'password']","['account', 'password', 'authentication']","['account', 'authentication', 'password']"
TKT-1004,"My order has not arrived yet, it was supposed to be delivered 3 days ago","['shipping', 'delivery', 'order']","['shipping', 'order', 'delivery']","['shipping', 'delivery', 'order']"
TKT-1005,The software is running very slowly after the latest update,"['performance', 'update', 'bug']","['performance', 'bug', 'update']","['performance', 'update', 'bug']"
TKT-1006,I want to cancel my subscription and get a refund for unused days,"['billing', 'cancellation', 'refund']","['cancellation', 'billing', 'account']","['billing', 'cancellation', 'refund']"
TKT-1007,"Cannot connect to VPN from home network, getting error 403","['connectivity', 'vpn', 'error']","['connectivity', 'error', 'vpn']","['connectivity', 'vpn', 'error']"
TKT-1008,My account got locked after too many login attempts,"['account', 'security', 'authentication']","['account', 'authentication', 'security']","['account', 'security', 'authentication']"
TKT-1009,"The export to PDF feature is not working, just shows blank page","['bug', 'feature', 'pdf']","['bug', 'feature', 'error']","['bug', 'pdf', 'feature']"
TKT-1010,I need to upgrade my plan to include more storage,"['billing', 'upgrade', 'account']","['account', 'billing', 'upgrade']","['billing', 'upgrade', 'account']"
TKT-1011,Screen is flickering and showing artifacts after GPU driver update,"['hardware', 'driver', 'display']","['hardware', 'display', 'performance']","['hardware', 'driver', 'display']"
TKT-1012,Got charged for a service I already cancelled 2 months ago,"['billing', 'payment', 'cancellation']","['billing', 'cancellation', 'payment']","['billing', 'cancellation', 'payment']"
TKT-1013,API is returning 500 errors intermittently since yesterday,"['api', 'error', 'connectivity']","['api', 'error', 'connectivity']","['api', 'error', 'connectivity']"
TKT-1014,"I accidentally deleted my project files, can they be recovered?","['data', 'recovery', 'account']","['data', 'account', 'error']","['data', 'recovery', 'account']"
TKT-1015,The notification emails are going to spam folder,"['email', 'notification', 'bug']","['email', 'bug', 'notification']","['email', 'notification', 'bug']"
TKT-1016,My team members cannot access the shared workspace,"['account', 'permissions', 'feature']","['account', 'permissions', 'error']","['account', 'permissions', 'feature']"
TKT-1017,Payment failed but the amount was deducted from my bank,"['billing', 'payment', 'error']","['billing', 'payment', 'error']","['billing', 'payment', 'error']"
TKT-1018,Two-factor authentication is not sending the OTP to my phone,"['authentication', 'security', 'bug']","['authentication', 'security', 'mobile']","['authentication', 'bug', 'security']"
TKT-1019,"Dashboard is not loading any data, just shows spinning loader","['bug', 'performance', 'ui']","['bug', 'ui', 'performance']","['bug', 'performance', 'ui']"
TKT-1020,Need an invoice for my last 3 purchases for tax purposes,"['billing', 'invoice', 'account']","['billing', 'account', 'invoice']","['billing', 'invoice', 'account']"
TKT-1021,The search feature is returning irrelevant results,"['feature', 'bug', 'search']","['search', 'bug', 'feature']","['search', 'feature', 'bug']"
TKT-1022,My subscription renewed even though I turned off auto-renew,"['billing', 'cancellation', 'payment']","['billing', 'payment', 'cancellation']","['billing', 'cancellation', 'payment']"
TKT-1023,Laptop battery drains in 2 hours even when plugged in,"['hardware', 'battery', 'performance']","['hardware', 'battery', 'performance']","['hardware', 'battery', 'performance']"
TKT-1024,"I cannot download my data export, link keeps expiring","['account', 'data', 'bug']","['data', 'bug', 'account']","['data', 'bug', 'recovery']"
